Humedad;Temp;pm10;pm2,5;uv;etiq
0,85;0,84;0,94;0,66;0,78;2
0,85;0,84;0,94;0,57;0,78;2
0,85;0,84;0,94;0,66;0,78;2
0,85;0,84;0,94;1,00;0,78;2
0,85;0,84;0,93;0,98;0,78;2
0,85;0,83;0,93;0,98;0,78;2
0,85;0,83;0,93;0,97;0,78;2
0,85;0,84;0,93;0,91;0,78;2
0,85;0,84;0,92;0,93;0,78;2
0,85;0,84;0,92;0,60;0,78;2
0,85;0,84;0,92;0,57;0,78;2
0,85;0,84;0,92;0,59;0,78;2
0,85;0,84;0,92;0,62;0,78;2
0,85;0,84;0,91;0,55;0,78;2
0,85;0,84;0,91;0,53;0,78;2
0,85;0,84;0,91;0,52;0,78;2
0,85;0,84;0,91;0,52;0,78;2
0,85;0,83;0,91;0,53;0,78;2
0,85;0,83;0,91;0,52;0,78;2
0,85;0,83;0,91;0,52;0,78;2
0,85;0,83;0,91;0,52;0,78;2
0,85;0,83;0,90;0,53;0,78;2
0,85;0,83;0,90;0,52;0,78;2
0,85;0,83;0,90;0,52;0,78;2
0,85;0,83;0,90;0,53;0,78;2
0,85;0,83;0,90;0,52;0,78;2
0,85;0,83;0,90;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,89;0,52;0,78;2
0,85;0,83;0,88;0,52;0,78;2
0,85;0,83;0,88;0,52;0,78;2
0,85;0,83;0,88;0,52;0,78;2
0,85;0,83;0,88;0,52;0,78;2
0,85;0,83;0,88;0,52;0,78;2
0,85;0,83;0,88;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,53;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,53;0,78;2
0,85;0,83;0,87;0,53;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,87;0,52;0,78;2
0,85;0,83;0,86;0,53;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,55;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,53;0,78;2
0,85;0,83;0,86;0,53;0,78;2
0,85;0,83;0,86;0,53;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,85;0,83;0,86;0,52;0,78;2
0,86;0,83;0,86;0,50;0,78;2
0,86;0,83;0,85;0,52;0,78;2
0,86;0,83;0,85;0,52;0,78;2
0,86;0,83;0,85;0,52;0,78;2
0,85;0,83;0,85;0,50;0,78;2
0,85;0,83;0,85;0,50;0,78;2
0,85;0,83;0,85;0,50;0,78;2
0,85;0,83;0,85;0,50;0,78;2
0,86;0,83;0,85;0,48;0,78;2
0,86;0,83;0,85;0,50;0,78;2
0,86;0,83;0,85;0,52;0,78;2
0,86;0,83;0,85;0,52;0,78;2
0,86;0,83;0,85;0,52;0,78;2
0,86;0,83;0,84;0,50;0,78;2
0,86;0,83;0,84;0,50;0,78;2
0,86;0,83;0,84;0,50;0,78;2
0,86;0,83;0,84;0,50;0,78;2
0,86;0,83;0,84;0,52;0,78;2
0,86;0,83;0,84;0,50;0,88;2
0,86;0,83;0,84;0,50;0,89;2
0,86;0,83;0,84;0,50;0,93;2
0,86;0,83;0,84;0,50;0,94;2
0,86;0,83;0,84;0,50;0,94;2
0,86;0,83;0,84;0,52;0,94;2
0,86;0,83;0,84;0,50;0,94;2
0,86;0,83;0,84;0,50;0,94;2
0,86;0,83;0,84;0,52;0,94;2
0,86;0,83;0,84;0,50;0,94;2
0,86;0,83;0,84;0,52;0,94;2
0,86;0,83;0,84;0,53;0,94;2
0,86;0,83;0,84;0,53;0,94;2
0,86;0,83;0,84;0,52;0,94;2
0,86;0,82;0,84;0,55;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,84;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,94;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,87;0,82;0,83;0,53;0,96;2
0,87;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,86;0,82;0,83;0,53;0,96;2
0,87;0,82;0,83;0,53;0,96;2
0,87;0,82;0,83;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,55;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,86;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,53;0,96;2
0,87;0,82;0,82;0,52;0,96;2
0,87;0,82;0,82;0,52;0,96;2
0,87;0,82;0,82;0,52;0,96;2
0,87;0,82;0,82;0,52;0,96;2
0,87;0,82;0,82;0,50;0,96;2
0,87;0,82;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,48;0,96;2
0,87;0,81;0,82;0,52;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,52;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,52;0,96;2
0,87;0,81;0,82;0,52;0,96;2
0,87;0,81;0,82;0,52;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,82;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,82;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,87;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,50;0,96;2
0,88;0,81;0,81;0,48;0,96;2
0,88;0,81;0,81;0,48;0,96;2
0,88;0,81;0,81;0,48;0,96;2
0,88;0,81;0,81;0,48;0,96;2
0,88;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,48;0,96;2
0,87;0,81;0,81;0,48;0,96;2
