Humedad;pm10;pm2.5;uv;etiq
 73.00 ;10.78;8.57;6.2;2
 73.00 ;10.74;8.57;6.2;2
 73.00 ;10.69;8.57;6.2;2
 73.00 ;10.69;8.57;6.2;2
 73.00 ;10.67;8.57;6.2;2
 73.00 ;10.67;8.57;6.2;2
 73.00 ;10.67;8.57;6.2;2
 73.00 ;10.62;8.57;6.2;2
 73.00 ;10.62;8.57;6.2;2
 73.00 ;10.62;8.57;6.2;2
 73.00 ;10.58;8.57;6.2;2
 73.00 ;10.62;8.57;6.2;2
 73.00 ;10.62;8.57;6.2;2
 73.00 ;10.58;8.57;6.2;2
 73.00 ;10.55;8.86;6.2;2
 73.00 ;10.55;8.57;6.2;2
 73.00 ;10.55;8.86;6.2;2
 73.00 ;10.55;8.86;6.2;2
 73.00 ;10.55;8.57;6.2;2
 73.00 ;10.55;8.57;6.2;2
 73.00 ;10.51;8.57;6.2;2
 73.00 ;10.51;8.57;6.2;2
 73.00 ;10.51;8.57;6.2;2
 73.00 ;10.51;8.57;6.2;2
 73.00 ;10.51;9.15;6.2;2
 73.00 ;10.51;8.57;6.2;2
 73.00 ;10.51;8.57;6.2;2
 73.00 ;10.46;8.86;6.2;2
 73.00 ;10.44;8.86;6.2;2
 73.00 ;10.44;8.86;6.2;2
 73.00 ;10.44;8.57;6.2;2
 73.00 ;10.44;8.57;6.2;2
 73.00 ;10.44;8.57;6.2;2
 74.00 ;10.44;8.29;6.2;2
 74.00 ;10.39;8.57;6.2;2
 74.00 ;10.39;8.57;6.2;2
 74.00 ;10.39;8.57;6.2;2
 73.00 ;10.39;8.29;6.2;2
 73.00 ;10.34;8.29;6.2;2
 73.00 ;10.34;8.29;6.2;2
 73.00 ;10.34;8.29;6.2;2
 74.00 ;10.34;8;6.2;2
 74.00 ;10.32;8.29;6.2;2
 74.00 ;10.34;8.57;6.2;2
 74.00 ;10.32;8.57;6.2;2
 74.00 ;10.32;8.57;6.2;2
 74.00 ;10.28;8.29;6.2;2
 74.00 ;10.28;8.29;6.2;2
 74.00 ;10.28;8.29;6.2;2
 74.00 ;10.28;8.29;6.2;2
 74.00 ;10.28;8.57;6.2;2
 74.00 ;10.28;8.29;7;2
 74.00 ;10.28;8.29;7.1;2
 74.00 ;10.28;8.29;7.4;2
 74.00 ;10.23;8.29;7.5;2
 74.00 ;10.23;8.29;7.5;2
 74.00 ;10.23;8.57;7.5;2
 74.00 ;10.21;8.29;7.5;2
 74.00 ;10.28;8.29;7.5;2
 74.00 ;10.23;8.57;7.5;2
 74.00 ;10.23;8.29;7.5;2
 74.00 ;10.23;8.57;7.5;2
 74.00 ;10.23;8.86;7.5;2
 74.00 ;10.23;8.86;7.5;2
 74.00 ;10.23;8.58;7.5;2
 74.00 ;10.23;9.14;7.5;2
 74.00 ;10.23;8.86;7.5;2
 74.00 ;10.23;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.21;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.16;8.86;7.5;2
 74.00 ;10.11;8.86;7.5;2
 74.00 ;10.11;8.86;7.5;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.11;8.86;7.7;2
 74.00 ;10.09;8.86;7.7;2
 74.00 ;10.09;8.86;7.7;2
 74.00 ;10.09;8.86;7.7;2
 75.00 ;10.09;8.86;7.7;2
 75.00 ;10.09;8.86;7.7;2
 74.00 ;10.09;8.86;7.7;2
 74.00 ;10.09;8.86;7.7;2
 75.00 ;10.09;8.86;7.7;2
 75.00 ;10.09;8.86;7.7;2
 75.00 ;10.04;8.86;7.7;2
 75.00 ;10.04;8.86;7.7;2
 75.00 ;10.04;8.86;7.7;2
 75.00 ;10.04;8.86;7.7;2
 74.00 ;10.04;8.86;7.7;2
 74.00 ;10.04;8.86;7.7;2
 75.00 ;10.04;8.86;7.7;2
 75.00 ;10.04;8.86;7.7;2
 74.00 ;10;8.86;7.7;2
 74.00 ;10.04;9.15;7.7;2
 74.00 ;10;8.86;7.7;2
 74.00 ;10;8.86;7.7;2
 75.00 ;10;8.86;7.7;2
 75.00 ;10;8.86;7.7;2
 75.00 ;10;8.86;7.7;2
 75.00 ;10;8.86;7.7;2
 74.00 ;10;8.86;7.7;2
 74.00 ;10;8.86;7.7;2
 75.00 ;10;8.86;7.7;2
 75.00 ;10;8.86;7.7;2
 75.00 ;9.97;8.57;7.7;2
 75.00 ;9.97;8.57;7.7;2
 75.00 ;10;8.57;7.7;2
 75.00 ;9.97;8.57;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.97;8.29;7.7;2
 75.00 ;9.93;8.29;7.7;2
 75.00 ;9.93;8;7.7;2
 75.00 ;9.93;8.57;7.7;2
 75.00 ;9.93;8.29;7.7;2
 75.00 ;9.93;8.57;7.7;2
 75.00 ;9.93;8.29;7.7;2
 75.00 ;9.93;8.57;7.7;2
 75.00 ;9.93;8.57;7.7;2
